direction,start_date,weekday,leg1_flight,leg1_dep,leg1_arr,leg2_flight,leg2_dep,leg2_arr,layover,total_time,price_sum,currency
VIE-STN-NTE,2026-01-21,Wednesday,FR 731,2026-01-21 09:30:00,2026-01-21 10:40:00,FR 2232,2026-01-21 11:55:00,2026-01-21 14:20:00,0 days 01:15:00,0 days 04:50:00,41,EUR
VIE-STN-NTE,2026-01-22,Thursday,FR 729,2026-01-22 06:25:00,2026-01-22 07:35:00,FR 2232,2026-01-22 11:15:00,2026-01-22 13:40:00,0 days 03:40:00,0 days 07:15:00,33,EUR
VIE-STN-NTE,2026-01-23,Friday,FR 7356,2026-01-23 09:35:00,2026-01-23 10:45:00,FR 8503,2026-01-23 13:10:00,2026-01-23 15:35:00,0 days 02:25:00,0 days 06:00:00,47,EUR
VIE-STN-NTE,2026-01-24,Saturday,FR 729,2026-01-24 12:00:00,2026-01-24 13:10:00,FR 2232,2026-01-24 15:05:00,2026-01-24 17:30:00,0 days 01:55:00,0 days 05:30:00,57,EUR
VIE-STN-NTE,2026-01-24,Saturday,FR 7356,2026-01-24 09:50:00,2026-01-24 11:00:00,FR 2232,2026-01-24 15:05:00,2026-01-24 17:30:00,0 days 04:05:00,0 days 07:40:00,57,EUR
VIE-STN-NTE,2026-01-25,Sunday,FR 7348,2026-01-25 09:40:00,2026-01-25 10:50:00,FR 8503,2026-01-25 18:25:00,2026-01-25 20:50:00,0 days 07:35:00,0 days 11:10:00,83,EUR
VIE-STN-NTE,2026-01-25,Sunday,FR 729,2026-01-25 13:50:00,2026-01-25 15:00:00,FR 8503,2026-01-25 18:25:00,2026-01-25 20:50:00,0 days 03:25:00,0 days 07:00:00,117,EUR
VIE-STN-NTE,2026-01-28,Wednesday,FR 731,2026-01-28 09:30:00,2026-01-28 10:40:00,FR 2232,2026-01-28 11:55:00,2026-01-28 14:20:00,0 days 01:15:00,0 days 04:50:00,36,EUR
VIE-STN-NTE,2026-01-29,Thursday,FR 729,2026-01-29 06:25:00,2026-01-29 07:35:00,FR 2232,2026-01-29 11:15:00,2026-01-29 13:40:00,0 days 03:40:00,0 days 07:15:00,33,EUR
VIE-STN-NTE,2026-01-30,Friday,FR 7356,2026-01-30 09:35:00,2026-01-30 10:45:00,FR 8503,2026-01-30 13:10:00,2026-01-30 15:35:00,0 days 02:25:00,0 days 06:00:00,67,EUR
VIE-STN-NTE,2026-01-31,Saturday,FR 729,2026-01-31 12:00:00,2026-01-31 13:10:00,FR 2232,2026-01-31 15:05:00,2026-01-31 17:30:00,0 days 01:55:00,0 days 05:30:00,126,EUR
VIE-STN-NTE,2026-01-31,Saturday,FR 7356,2026-01-31 09:50:00,2026-01-31 11:00:00,FR 2232,2026-01-31 15:05:00,2026-01-31 17:30:00,0 days 04:05:00,0 days 07:40:00,138,EUR
VIE-STN-NTE,2026-02-01,Sunday,FR 7348,2026-02-01 09:40:00,2026-02-01 10:50:00,FR 8503,2026-02-01 18:25:00,2026-02-01 20:50:00,0 days 07:35:00,0 days 11:10:00,95,EUR
VIE-STN-NTE,2026-02-01,Sunday,FR 729,2026-02-01 13:50:00,2026-02-01 15:00:00,FR 8503,2026-02-01 18:25:00,2026-02-01 20:50:00,0 days 03:25:00,0 days 07:00:00,112,EUR
VIE-STN-NTE,2026-02-02,Monday,FR 729,2026-02-02 11:10:00,2026-02-02 12:20:00,FR 8503,2026-02-02 16:35:00,2026-02-02 19:00:00,0 days 04:15:00,0 days 07:50:00,55,EUR
VIE-STN-NTE,2026-02-02,Monday,FR 7356,2026-02-02 09:35:00,2026-02-02 10:45:00,FR 8503,2026-02-02 16:35:00,2026-02-02 19:00:00,0 days 05:50:00,0 days 09:25:00,55,EUR
VIE-STN-NTE,2026-02-02,Monday,FR 731,2026-02-02 13:25:00,2026-02-02 14:35:00,FR 8503,2026-02-02 16:35:00,2026-02-02 19:00:00,0 days 02:00:00,0 days 05:35:00,60,EUR
VIE-STN-NTE,2026-02-03,Tuesday,FR 7348,2026-02-03 11:55:00,2026-02-03 13:05:00,FR 2232,2026-02-03 17:50:00,2026-02-03 20:15:00,0 days 04:45:00,0 days 08:20:00,45,EUR
VIE-STN-NTE,2026-02-04,Wednesday,FR 731,2026-02-04 09:30:00,2026-02-04 10:40:00,FR 2232,2026-02-04 11:55:00,2026-02-04 14:20:00,0 days 01:15:00,0 days 04:50:00,79,EUR
VIE-STN-NTE,2026-02-05,Thursday,FR 729,2026-02-05 06:25:00,2026-02-05 07:35:00,FR 2232,2026-02-05 11:15:00,2026-02-05 13:40:00,0 days 03:40:00,0 days 07:15:00,66,EUR
VIE-STN-NTE,2026-02-06,Friday,FR 7356,2026-02-06 09:35:00,2026-02-06 10:45:00,FR 8503,2026-02-06 13:10:00,2026-02-06 15:35:00,0 days 02:25:00,0 days 06:00:00,49,EUR
VIE-STN-NTE,2026-02-07,Saturday,FR 729,2026-02-07 12:00:00,2026-02-07 13:10:00,FR 2232,2026-02-07 15:05:00,2026-02-07 17:30:00,0 days 01:55:00,0 days 05:30:00,45,EUR
VIE-STN-NTE,2026-02-07,Saturday,FR 7356,2026-02-07 09:50:00,2026-02-07 11:00:00,FR 2232,2026-02-07 15:05:00,2026-02-07 17:30:00,0 days 04:05:00,0 days 07:40:00,62,EUR
VIE-STN-NTE,2026-02-08,Sunday,FR 729,2026-02-08 13:50:00,2026-02-08 15:00:00,FR 8503,2026-02-08 18:25:00,2026-02-08 20:50:00,0 days 03:25:00,0 days 07:00:00,81,EUR
VIE-STN-NTE,2026-02-08,Sunday,FR 7348,2026-02-08 09:40:00,2026-02-08 10:50:00,FR 8503,2026-02-08 18:25:00,2026-02-08 20:50:00,0 days 07:35:00,0 days 11:10:00,87,EUR
VIE-STN-NTE,2026-02-09,Monday,FR 7356,2026-02-09 09:35:00,2026-02-09 10:45:00,FR 8503,2026-02-09 16:35:00,2026-02-09 19:00:00,0 days 05:50:00,0 days 09:25:00,71,EUR
VIE-STN-NTE,2026-02-09,Monday,FR 729,2026-02-09 11:10:00,2026-02-09 12:20:00,FR 8503,2026-02-09 16:35:00,2026-02-09 19:00:00,0 days 04:15:00,0 days 07:50:00,74,EUR
VIE-STN-NTE,2026-02-09,Monday,FR 731,2026-02-09 13:25:00,2026-02-09 14:35:00,FR 8503,2026-02-09 16:35:00,2026-02-09 19:00:00,0 days 02:00:00,0 days 05:35:00,83,EUR
VIE-STN-NTE,2026-02-10,Tuesday,FR 7348,2026-02-10 11:55:00,2026-02-10 13:05:00,FR 2232,2026-02-10 17:50:00,2026-02-10 20:15:00,0 days 04:45:00,0 days 08:20:00,68,EUR
VIE-STN-NTE,2026-02-11,Wednesday,FR 731,2026-02-11 09:30:00,2026-02-11 10:40:00,FR 2232,2026-02-11 11:55:00,2026-02-11 14:20:00,0 days 01:15:00,0 days 04:50:00,59,EUR
VIE-STN-NTE,2026-02-12,Thursday,FR 729,2026-02-12 06:25:00,2026-02-12 07:35:00,FR 2232,2026-02-12 11:15:00,2026-02-12 13:40:00,0 days 03:40:00,0 days 07:15:00,57,EUR
VIE-STN-NTE,2026-02-13,Friday,FR 7356,2026-02-13 09:35:00,2026-02-13 10:45:00,FR 8503,2026-02-13 13:10:00,2026-02-13 15:35:00,0 days 02:25:00,0 days 06:00:00,82,EUR
VIE-STN-NTE,2026-02-14,Saturday,FR 729,2026-02-14 12:00:00,2026-02-14 13:10:00,FR 2232,2026-02-14 15:05:00,2026-02-14 17:30:00,0 days 01:55:00,0 days 05:30:00,56,EUR
VIE-STN-NTE,2026-02-14,Saturday,FR 7356,2026-02-14 09:50:00,2026-02-14 11:00:00,FR 2232,2026-02-14 15:05:00,2026-02-14 17:30:00,0 days 04:05:00,0 days 07:40:00,82,EUR
VIE-STN-NTE,2026-02-15,Sunday,FR 7348,2026-02-15 09:40:00,2026-02-15 10:50:00,FR 8503,2026-02-15 18:25:00,2026-02-15 20:50:00,0 days 07:35:00,0 days 11:10:00,81,EUR
VIE-STN-NTE,2026-02-15,Sunday,FR 729,2026-02-15 13:50:00,2026-02-15 15:00:00,FR 8503,2026-02-15 18:25:00,2026-02-15 20:50:00,0 days 03:25:00,0 days 07:00:00,90,EUR
VIE-STN-NTE,2026-02-16,Monday,FR 729,2026-02-16 11:10:00,2026-02-16 12:20:00,FR 8503,2026-02-16 16:35:00,2026-02-16 19:00:00,0 days 04:15:00,0 days 07:50:00,74,EUR
VIE-STN-NTE,2026-02-16,Monday,FR 7356,2026-02-16 09:35:00,2026-02-16 10:45:00,FR 8503,2026-02-16 16:35:00,2026-02-16 19:00:00,0 days 05:50:00,0 days 09:25:00,74,EUR
VIE-STN-NTE,2026-02-16,Monday,FR 731,2026-02-16 13:25:00,2026-02-16 14:35:00,FR 8503,2026-02-16 16:35:00,2026-02-16 19:00:00,0 days 02:00:00,0 days 05:35:00,88,EUR
VIE-STN-NTE,2026-02-17,Tuesday,FR 7348,2026-02-17 11:55:00,2026-02-17 13:05:00,FR 2232,2026-02-17 17:50:00,2026-02-17 20:15:00,0 days 04:45:00,0 days 08:20:00,80,EUR
NTE-STN-VIE,2026-01-19,Monday,FR 2231,2026-01-19 12:30:00,2026-01-19 12:55:00,FR 732,2026-01-19 15:00:00,2026-01-19 18:10:00,0 days 02:05:00,0 days 05:40:00,80,EUR
NTE-STN-VIE,2026-01-19,Monday,FR 2231,2026-01-19 12:30:00,2026-01-19 12:55:00,FR 7349,2026-01-19 19:55:00,2026-01-19 23:05:00,0 days 07:00:00,0 days 10:35:00,80,EUR
NTE-STN-VIE,2026-01-22,Thursday,FR 2231,2026-01-22 14:10:00,2026-01-22 14:35:00,FR 7349,2026-01-22 19:35:00,2026-01-22 22:45:00,0 days 05:00:00,0 days 08:35:00,115,EUR
NTE-STN-VIE,2026-01-23,Friday,FR 8504,2026-01-23 16:00:00,2026-01-23 16:25:00,FR 7349,2026-01-23 19:40:00,2026-01-23 22:50:00,0 days 03:15:00,0 days 06:50:00,133,EUR
NTE-STN-VIE,2026-01-24,Saturday,FR 2231,2026-01-24 17:55:00,2026-01-24 18:20:00,FR 7349,2026-01-24 19:35:00,2026-01-24 22:45:00,0 days 01:15:00,0 days 04:50:00,46,EUR
NTE-STN-VIE,2026-01-26,Monday,FR 2231,2026-01-26 12:30:00,2026-01-26 12:55:00,FR 7349,2026-01-26 19:55:00,2026-01-26 23:05:00,0 days 07:00:00,0 days 10:35:00,98,EUR
NTE-STN-VIE,2026-01-26,Monday,FR 2231,2026-01-26 12:30:00,2026-01-26 12:55:00,FR 732,2026-01-26 15:00:00,2026-01-26 18:10:00,0 days 02:05:00,0 days 05:40:00,104,EUR
NTE-STN-VIE,2026-01-29,Thursday,FR 2231,2026-01-29 14:10:00,2026-01-29 14:35:00,FR 7349,2026-01-29 19:35:00,2026-01-29 22:45:00,0 days 05:00:00,0 days 08:35:00,33,EUR
NTE-STN-VIE,2026-01-30,Friday,FR 8504,2026-01-30 16:00:00,2026-01-30 16:25:00,FR 7349,2026-01-30 19:40:00,2026-01-30 22:50:00,0 days 03:15:00,0 days 06:50:00,150,EUR
NTE-STN-VIE,2026-01-31,Saturday,FR 2231,2026-01-31 17:55:00,2026-01-31 18:20:00,FR 7349,2026-01-31 19:35:00,2026-01-31 22:45:00,0 days 01:15:00,0 days 04:50:00,56,EUR
NTE-STN-VIE,2026-02-01,Sunday,FR 2231,2026-02-01 14:30:00,2026-02-01 14:55:00,FR 732,2026-02-01 19:45:00,2026-02-01 22:55:00,0 days 04:50:00,0 days 08:25:00,58,EUR
NTE-STN-VIE,2026-02-02,Monday,FR 2231,2026-02-02 12:30:00,2026-02-02 12:55:00,FR 7349,2026-02-02 19:55:00,2026-02-02 23:05:00,0 days 07:00:00,0 days 10:35:00,59,EUR
NTE-STN-VIE,2026-02-02,Monday,FR 2231,2026-02-02 12:30:00,2026-02-02 12:55:00,FR 732,2026-02-02 15:00:00,2026-02-02 18:10:00,0 days 02:05:00,0 days 05:40:00,63,EUR
NTE-STN-VIE,2026-02-05,Thursday,FR 2231,2026-02-05 14:10:00,2026-02-05 14:35:00,FR 7349,2026-02-05 19:35:00,2026-02-05 22:45:00,0 days 05:00:00,0 days 08:35:00,93,EUR
NTE-STN-VIE,2026-02-06,Friday,FR 8504,2026-02-06 16:00:00,2026-02-06 16:25:00,FR 7349,2026-02-06 19:40:00,2026-02-06 22:50:00,0 days 03:15:00,0 days 06:50:00,75,EUR
NTE-STN-VIE,2026-02-06,Friday,FR 2231,2026-02-06 09:40:00,2026-02-06 10:05:00,FR 732,2026-02-06 16:50:00,2026-02-06 20:00:00,0 days 06:45:00,0 days 10:20:00,79,EUR
NTE-STN-VIE,2026-02-06,Friday,FR 2231,2026-02-06 09:40:00,2026-02-06 10:05:00,FR 7349,2026-02-06 19:40:00,2026-02-06 22:50:00,0 days 09:35:00,0 days 13:10:00,85,EUR
NTE-STN-VIE,2026-02-06,Friday,FR 2231,2026-02-06 09:40:00,2026-02-06 10:05:00,FR 730,2026-02-06 14:20:00,2026-02-06 17:30:00,0 days 04:15:00,0 days 07:50:00,91,EUR
